2016-02-25 22:58:16 [INFO] Processing column "products.old_id"
2016-02-25 22:58:16 [INFO] Processing column "products.estoque_minimo"
2016-02-25 22:58:16 [INFO] Processing table "roles"
2016-02-25 22:58:16 [INFO] Processing column "roles.id"
2016-02-25 22:58:16 [INFO] Processing column "roles.created_at"
2016-02-25 22:58:16 [INFO] Processing column "roles.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "roles.deleted_at"
2016-02-25 22:58:16 [INFO] Processing column "roles.name"
2016-02-25 22:58:16 [INFO] Processing column "roles.description"
2016-02-25 22:58:16 [INFO] Processing table "shared_currencies"
2016-02-25 22:58:16 [INFO] Processing column "shared_currencies.id"
2016-02-25 22:58:16 [INFO] Processing column "shared_currencies.created_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_currencies.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_currencies.deleted_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_currencies.nome_universal"
2016-02-25 22:58:16 [INFO] Processing column "shared_currencies.descricao"
2016-02-25 22:58:16 [INFO] Processing table "shared_order_payments"
2016-02-25 22:58:16 [INFO] Processing column "shared_order_payments.id"
2016-02-25 22:58:16 [INFO] Processing column "shared_order_payments.created_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_order_payments.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_order_payments.deleted_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_order_payments.pagamento"
2016-02-25 22:58:16 [INFO] Processing column "shared_order_payments.descricao"
2016-02-25 22:58:16 [INFO] Processing table "shared_order_types"
2016-02-25 22:58:16 [INFO] Processing column "shared_order_types.id"
2016-02-25 22:58:16 [INFO] Processing column "shared_order_types.created_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_order_types.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_order_types.deleted_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_order_types.tipo"
2016-02-25 22:58:16 [INFO] Processing column "shared_order_types.descricao"
2016-02-25 22:58:16 [INFO] Processing table "shared_stats"
2016-02-25 22:58:16 [INFO] Processing column "shared_stats.id"
2016-02-25 22:58:16 [INFO] Processing column "shared_stats.created_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_stats.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_stats.deleted_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_stats.status"
2016-02-25 22:58:16 [INFO] Processing column "shared_stats.descricao"
2016-02-25 22:58:16 [INFO] Processing table "shared_unit_of_measures"
2016-02-25 22:58:16 [INFO] Processing column "shared_unit_of_measures.id"
2016-02-25 22:58:16 [INFO] Processing column "shared_unit_of_measures.created_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_unit_of_measures.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_unit_of_measures.deleted_at"
2016-02-25 22:58:16 [INFO] Processing column "shared_unit_of_measures.uom"
2016-02-25 22:58:16 [INFO] Processing column "shared_unit_of_measures.descricao"
2016-02-25 22:58:16 [INFO] Processing table "traffic"
2016-02-25 22:58:16 [INFO] Processing column "traffic.id"
2016-02-25 22:58:16 [INFO] Processing column "traffic.created_at"
2016-02-25 22:58:16 [INFO] Processing column "traffic.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "traffic.remote_address"
2016-02-25 22:58:16 [INFO] Processing column "traffic.user_info"
2016-02-25 22:58:16 [INFO] Processing column "traffic.server_info"
2016-02-25 22:58:16 [INFO] Processing column "traffic.session_id"
2016-02-25 22:58:16 [INFO] Processing table "users"
2016-02-25 22:58:16 [INFO] Processing column "users.id"
2016-02-25 22:58:16 [INFO] Processing column "users.mandante"
2016-02-25 22:58:16 [INFO] Processing column "users.name"
2016-02-25 22:58:16 [INFO] Processing column "users.avatar"
2016-02-25 22:58:16 [INFO] Processing column "users.password"
2016-02-25 22:58:16 [INFO] Processing column "users.username"
2016-02-25 22:58:16 [INFO] Processing column "users.email"
2016-02-25 22:58:16 [INFO] Processing column "users.provider"
2016-02-25 22:58:16 [INFO] Processing column "users.provider_id"
2016-02-25 22:58:16 [INFO] Processing column "users.activation_code"
2016-02-25 22:58:16 [INFO] Processing column "users.active"
2016-02-25 22:58:16 [INFO] Processing column "users.remember_token"
2016-02-25 22:58:16 [INFO] Processing column "users.created_at"
2016-02-25 22:58:16 [INFO] Processing column "users.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "users.deleted_at"
2016-02-25 22:58:16 [INFO] Processing column "users.role_id"
2016-02-25 22:58:16 [INFO] Processing index "addresses.PRIMARY"
2016-02-25 22:58:16 [INFO] Processing index "addresses.addresses_mandante_index"
2016-02-25 22:58:16 [INFO] Processing index "addresses.addresses_partner_id_index"
2016-02-25 22:58:16 [INFO] Processing index "addresses.addresses_deleted_at_index"
2016-02-25 22:58:16 [INFO] Processing foreign key "addresses.addresses_partner_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column addresses.partner_id as foreign reference for partners
2016-02-25 22:58:16 [INFO] Mark column partners.id as local reference for partners
2016-02-25 22:58:16 [INFO] Processing index "attachments.PRIMARY"
2016-02-25 22:58:16 [INFO] Processing index "attachments.attachments_mandante_index"
2016-02-25 22:58:16 [INFO] Processing index "attachments.attachments_order_id_index"
2016-02-25 22:58:16 [INFO] Processing index "attachments.attachments_deleted_at_index"
2016-02-25 22:58:16 [INFO] Processing foreign key "attachments.attachments_order_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column attachments.order_id as foreign reference for orders
2016-02-25 22:58:16 [INFO] Mark column orders.id as local reference for orders
2016-02-25 22:58:16 [INFO] Processing index "contacts.PRIMARY"
2016-02-25 22:58:16 [INFO] Processing index "contacts.contacts_mandante_index"
2016-02-25 22:58:16 [INFO] Processing index "contacts.contacts_partner_id_index"
2016-02-25 22:58:16 [INFO] Processing foreign key "contacts.contacts_partner_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column contacts.partner_id as foreign reference for partners
2016-02-25 22:58:16 [INFO] Mark column partners.id as local reference for partners
2016-02-25 22:58:16 [INFO] Processing index "cost_allocates.PRIMARY"
2016-02-25 22:58:16 [INFO] Processing index "cost_allocates.cost_allocates_mandante_index"
2016-02-25 22:58:16 [INFO] Processing index "cost_allocates.cost_allocates_deleted_at_index"
2016-02-25 22:58:16 [INFO] Processing index "cost_allocate_shared_stat.cost_allocate_shared_stat_cost_allocate_id_index"
2016-02-25 22:58:16 [INFO] Processing index "cost_allocate_shared_stat.cost_allocate_shared_stat_status_id_index"
2016-02-25 22:58:16 [INFO] Processing index "cost_allocate_shared_stat.PRIMARY"
2016-02-25 22:58:16 [INFO] Processing foreign key "cost_allocate_shared_stat.cost_allocate_shared_stat_cost_allocate_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column cost_allocate_shared_stat.cost_allocate_id as foreign reference for cost_allocates
2016-02-25 22:58:16 [INFO] Mark column cost_allocates.id as local reference for cost_allocates
2016-02-25 22:58:16 [INFO] Processing foreign key "cost_allocate_shared_stat.cost_allocate_shared_stat_status_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column cost_allocate_shared_stat.status_id as foreign reference for shared_stats
2016-02-25 22:58:16 [INFO] Mark column shared_stats.id as local reference for shared_stats
2016-02-25 22:58:16 [INFO] Processing index "documents.PRIMARY"
2016-02-25 22:58:16 [INFO] Processing index "documents.documents_mandante_index"
2016-02-25 22:58:16 [INFO] Processing index "documents.documents_partner_id_index"
2016-02-25 22:58:16 [INFO] Processing foreign key "documents.documents_partner_id_foreign"
2016-02-25 22:58:16 [INFO] Mark column documents.partner_id as foreign reference for partners
2016-02-25 22:58:16 [INFO] Mark column partners.id as local reference for partners
2016-02-25 22:58:16 [INFO] Processing index "item_orders.PRIMARY"
2016-02-25 22:58:16 [INFO] Processing index "item_orders.item_orders_mandante_index"
2016-02-25 22:58:16 [INFO] Processing index "item_orders.item_orders_order_id_index"
